text,tag,,,
Surely this picture should show the characters wearing masks as they are mandatory !,2,,,
they also need to wear a mask so they can protect others from the sleeve full of germs he will pass around to others on the bus.,2,,,
Why is the WHO not encouraging mask wearing... we had this message before and the virus is still spreading,1,,,
And who will believe an Organization that has permitted to chair a person from the Country where Covid started? Where are the case studies that mask works?  Why wait 8 months after temps have reached into the mid 90's and higher to FORCE us to wear masks? Your breathing in more Carbon Dioxide than Oxygen along with your sweat and bacteria that is trapped in your mask.,1,,,
Wear a mask and you are protecting yourself and others. Simple.,3,,,
"Once upon a time it was called, Having Manners and you were taught at a early age to Cover Coughs and Sneezes.",3,,,
Why aren't any of those passengers wearing a mask,2,,,
This won’t be a problem if you wear a mask in public!,1,,,
Haha where are the mask  in the picture they all sitting in the bus or was that not a recommendation from the WHO you are a joke hopefully all country will stop funding you and the rest who belongs to u organisation,1,,,
Masks should be mandatory. Proper use of masks is also necessary. Keeping it over your chin or lips only wont cover anyone.,3,,,
"Why isn’t anyone on this bus wearing a mask? That helps too, you know.",2,,,
Usually just scroll past WHO stuff but this did make me laugh out loud.,1,,,
And then you touch someone else with that same elbow????,3,,,
Facemasks should be required on public transportation.,3,,,
Where are their masks?,2,,,
Wear your freaking mask,1,,,
Cough or sneeze anywhere in public and you automatically have COVID ! some people need to relax just a little...there is allergy coughs and sneezes..there is normal illness that sometime cause this...no need to get bent out of shape every time someone does this naturally.,4,,,
Should be wearing a good mask when in the public!,3,,,
"Don’t be ashamed to wear a mask either way it is safe x even with a common flu . Face up . Wear a mask . Bandana is fun for kids .  I’m going to start sewing  masks , silk wool poly fibre silk wool five  layers . This is our future to keep safe and rid of germs . In any case .   Gotta be done!",3,,,
"Everybody should ware a mask, every where",3,,,
Show consideration and wear a mask!,2,,,
People do these things without thinking...but refuse to wear a mask??????,1,,,
"Who is one of the biggest frauds and failures we ever managed on planet earth   Do the opposite of what who says, start thinking and you will be healthy.",1,,,
Some people don't care. In the super market where I live I was the only one wearing a mask. Crazy,2,,,
And passengers also don't hate those sneeze( with precautions) it's a natural process....,4,,,
I thought all of these people were supposed to be wearing a mask?  What happened to that?  Or was that just last week?,1,,,
"WEAR A MASK! SCIENTISTS HAVE FOUND THAT IF EVERYONE WEARS A MASK, WE COULD NEARLY ELIMINATE THE VIRUS!",1,,,
This is NOT a new concept! The WHO seems to be trying to be relevant.,1,,,
WEAR A MASK unless you want society sheltering in place for all eternity!!!,1,,,
I can’t understand why people should sneeze into their elbow rather than a disposable tissue. When I see people doing the elbow nudge I do think to myself  - germs - passing from person to person!,1,,,
just like we do in Holland.,3,,,
WEAR A MASK on public transit!,3,,,
"If possible,  we should all avoid breathing altogether,  it seems to be the cause of all our problems!!!",1,,,
