text,tag
"control - that what it is. In 1-3 years almost all ppl will get sick with this virus with this rule or without, but to much cleaning and the mask will destroy immune system 100%. Don't be controlled by the new system..",2
How is this the new normal? This is common knowledge. Minus the mask. How about we just spread these as reminders and remove the mandates of masks and closures? It’s time to resume life.,2
according  to  the  CDC  about  a  month  ago  the  death  rate  was  0.26%.  Not  much  worse  than  the  flu and   half as  deadly  as  the  American  flu  vaccination  that  has a  death  rate  of  0.6%.  when  Will  these  people  tell  the  truth?!,1
"I resist the "" new normal""!!!!!   It's not normal at all and was only suppose to happen until we"" flattened the curve""  what happened?!?   Rise up people, RISE UP!!",1
"It's amazing how I've survived without wearing a mask, using hand sanitizer and rarely washing my hands. Sorry to all the elderly people I've killed inadvertently in the last few months.",3
"Maybe some advice on improve health? Nutrition, get a better immune system,  positive attitude and thoughts? Come on, after months you said nothing really important? And you call yourself WHO?",2
"Been doing this for months, time to start living a normal life again. Quarantine is supposed to be 14 days . So why after months are we not over it?",2
"Not my new normal, check the numbers the mortality rate is very low. This nonsense is just blown out of proportion. But hey they said never a good crisis go to waste.",1
"Masks, distancing and over cleaning with chemicals are not good for the immune system",3
"You need to stand up to the feds and say it plainly in your ads: WEAR A FACEMASK at all times, and keep 2, that’s TWO meters apart- 6, count them, SIX, feet apart from others. One meter is not enough!",2
"Being told when to come out of the house, where to go, who to meet, not use cash, all whilst wearing a muzzle is not normal..... Its called controlling the masses and the way the sheep have fell for it is unbelievable",1
This is not a new normal.  The WHO has lost all credibility a long time ago.,1
Why NEW Normal???? Why not Temporary Normal? Crisis time Normal? Or Special Normal! Do we really want to keep this forever????,1
"Oh f**k off with your new normal. Absolutley nothing normal about any of this! It's a joke! Interestingly nothing on that list about nurturing your immune system - you know, that natural defense against illness everyone has",1
THE NEW NORMAL???? REALLY??? COULD THE ELITE BE ANY MORE OBVIOUS??!!,1
e. We should've done it like them! Stop bullshitting the public. We've all done our part and swallowed this rubbish advice. This is just done for control. Nothing else. Our lives matter zero to the government.,1
"We don't need your corrupted propaganda, all the citizens see you and know what you do to humanity and you will collapse.These are your last moments here...",1
New Normal? So we should get used to this? There's nothing normal about it and calling it so doesn't change that,2
"This is the ""new normal"" and more to come  if people continue to accept it.",2
"It's NOTHING NORMAL in this so-called ""new normal"". And by all means, you're the most EVIL theorist organisation nowadays!!! Did you know that???",1
Not my new normal !!!  Look at the cdc numbers have changed dramatically so what we all still being made to fear for !!!,2
Someone please tell the US about this....,3
Except in schools where apparently noone needs to worry...,2
I'm way too good looking to wear a mask. I bring joy to the world. It's my duty.,3
I don't want a 'new normal' thank you very much. I'd like my old normal back please.,1
Stay healthy and avoid all contact with WHO!,2
how to stay healthy: avoid bill gates and his vaccines,2
No such thing as a free world anymore making it sound worst then what it is people need to stand together and tell the government to go away and let everyone get on with our lives.,1
I don't make others responsible for my wellbeing.,3
Stop this nonsense. Stop scaring people... It's hunger and poverty that's killing people more than any virus.,1
This is absolutely Not the new normal. Ridiculous. Too many of us know whats really going on!!!,1
That would help reduce a lot of fall/winter illnesses:),4
Nothing has changed!  All should have practiced this and mastered it way before COVID!!,2
We wont be having this as a new normal ! WHO need shutting down !!!! Do the opposite of what these fools say,1
s and more important the children please people protec if yours want live and the rest .Thank you.,3
"We do very well in Sweden thank you.. despite not having any masks , lockdown etc.. useless information...",3
instruct this is concerning of others' basic hygiene habits and knowledge,3
Isn't education a wonderful thing! As demonstrated in these comments.,3
"We should've done this since day one when Covid hit. America is stubborn, which is why it's still the #1 country with the most cases, and the most deaths.",2
It is missing one thing : be a robot and do not think.,1
Avoid touching face... but I touch my face more to rearrange my mask ????,3
Not new normal. I am back to hand shaking and hugging people. I need human connection over fear. I could get hit by a bus tomorrow so I'll be taking my chances. Plandemic isn't working on me.,2
"We are not frightened anymore, so please go away WHO.",1
There is nothing normal about this and you will never ever brainwash me into believing that!,1
So sick of this New Normal BS! I'm not havin it!,1
"We have to use common sense and do the right thing: wear mask, social distance, avoid large gatherings, and wash hands frequently.",4
So now it's 1metre distance not 2 limit time in crowded places why? Does covid have a certain time limit    ... I'm confused sick stay home should we not be doing this already .... Please I'm not saying covid isn't real or contagious but a lot of other things that we have lived with forever now is also contagious get real people !,2
I absolutely agree. We all as a nation should be considerate and responsible about this!! Lets be civil people and do this right! For all our sakes!,4
